Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
ATAC-seq,,,,,,,,,,,,,NF Landscape/assay
CAPP-seq,,,,,,,,,,,,,NF Landscape/assay
CUT&RUN,,,,,,,,,,,,,NF Landscape/assay
ChIP-seq,,,,,,,,,,,,,NF Landscape/assay
ERR bisulfite sequencing,,,,,,,,,,,,,NF Landscape/assay
HI-C,,,,,,,,,,,,,NF Landscape/assay
ISO-seq,,,,,,,,,,,,,NF Landscape/assay
NOMe-seq,,,,,,,,,,,,,NF Landscape/assay
RNA array,,,,,,,,,,,,,NF Landscape/assay
RNA-seq,,,,,,,,,,,,,NF Landscape/assay
SNP array,,,,,,,,,,,,,NF Landscape/assay
SaferSeqS,,,,,,,,,,,,,NF Landscape/assay
Sanger sequencing,,,,,,,,,,,,,NF Landscape/assay
T cell receptor repertoire sequencing,,,,,,,,,,,,,NF Landscape/assay
bisulfite sequencing,,,,,,,,,,,,,NF Landscape/assay
jumping library,,,,,,,,,,,,,NF Landscape/assay
lncRNA-seq,,,,,,,,,,,,,NF Landscape/assay
methylation array,,,,,,,,,,,,,NF Landscape/assay
miRNA array,,,,,,,,,,,,,NF Landscape/assay
miRNA-seq,,,,,,,,,,,,,NF Landscape/assay
next-generation sequencing,,,,,,,,,,,,,NF Landscape/assay
next generation targeted sequencing,,,,,,,,,,,,,NF Landscape/assay
oxBS-seq,,,,,,,,,,,,,NF Landscape/assay
ribo-seq,,,,,,,,,,,,,NF Landscape/assay
scCGI-seq,,,,,,,,,,,,,NF Landscape/assay
single cell ATAC-seq,,,,,,,,,,,,,NF Landscape/assay
single-cell RNA-seq,,,,,,,,,,,,,NF Landscape/assay
single-nucleus RNA-seq,,,,,,,,,,,,,NF Landscape/assay
spatial transcriptomics,,,,,,,,,,,,,NF Landscape/assay
targeted exome sequencing,,,,,,,,,,,,,NF Landscape/assay
whole exome sequencing,,,,,,,,,,,,,NF Landscape/assay
whole genome sequencing,,,,,,,,,,,,,NF Landscape/assay
3D confocal imaging,,,,,,,,,,,,,NF Landscape/assay
3D electron microscopy,,,,,,,,,,,,,NF Landscape/assay
3D imaging,,,,,,,,,,,,,NF Landscape/assay
CODEX,,,,,,,,,,,,,NF Landscape/assay
DNA optical mapping,,,,,,,,,,,,,NF Landscape/assay
Fluorescence In Situ Hybridization,,,,,,,,,,,,,NF Landscape/assay
Magnetization-Prepared Rapid Gradient Echo MRI,,,,,,,,,,,,,NF Landscape/assay
SUSHI,,,,,,,,,,,,,NF Landscape/assay
atomic force microscopy,,,,,,,,,,,,,NF Landscape/assay
autoradiography,,,,,,,,,,,,,NF Landscape/assay
brightfield microscopy,,,,,,,,,,,,,NF Landscape/assay
live imaging,,,,,,,,,,,,,NF Landscape/assay
histology,,,,,,,,,,,,,NF Landscape/assay
confocal microscopy,,,,,,,,,,,,,NF Landscape/assay
conventional MRI,,,,,,,,,,,,,NF Landscape/assay
diffusion MRI,,,,,,,,,,,,,NF Landscape/assay
fluorescence microscopy assay,,,,,,,,,,,,,NF Landscape/assay
functional MRI,,,,,,,,,,,,,NF Landscape/assay
gel filtration chromatography,,,,,,,,,,,,,NF Landscape/assay
high content screen,,,,,,,,,,,,,NF Landscape/assay
high frequency ultrasound,,,,,,,,,,,,,NF Landscape/assay
immunocytochemistry,,,,,,,,,,,,,NF Landscape/assay
immunofluorescence,,,,,,,,,,,,,NF Landscape/assay
immunohistochemistry,,,,,,,,,,,,,NF Landscape/assay
in vivo bioluminescence,,,,,,,,,,,,,NF Landscape/assay
laser speckle imaging,,,,,,,,,,,,,NF Landscape/assay
magnetic resonance angiography,,,,,,,,,,,,,NF Landscape/assay
magnetic resonance spectroscopy,,,,,,,,,,,,,NF Landscape/assay
optical coherence tomography,,,,,,,,,,,,,NF Landscape/assay
optical tomography,,,,,,,,,,,,,NF Landscape/assay
phase-contrast microscopy,,,,,,,,,,,,,NF Landscape/assay
photograph,,,,,,,,,,,,,NF Landscape/assay
positron emission tomography,,,,,,,,,,,,,NF Landscape/assay
spatial frequency domain imaging,,,,,,,,,,,,,NF Landscape/assay
traction force microscopy,,,,,,,,,,,,,NF Landscape/assay
transcranial doppler ultrasonography,,,,,,,,,,,,,NF Landscape/assay
western blot,,,,,,,,,,,,,NF Landscape/assay
FIA-MSMS,,,,,,,,,,,,,NF Landscape/assay
FTIR spectroscopy,,,,,,,,,,,,,NF Landscape/assay
MIB/MS,,,,,,,,,,,,,NF Landscape/assay
MudPIT,,,,,,,,,,,,,NF Landscape/assay
RPPA,,,,,,,,,,,,,NF Landscape/assay
TMT quantitation,,,,,,,,,,,,,NF Landscape/assay
high-performance liquid chromatography/tandem mass spectrometry,,,,,,,,,,,,,NF Landscape/assay
label free mass spectrometry,,,,,,,,,,,,,NF Landscape/assay
liquid chromatography-electrochemical detection,,,,,,,,,,,,,NF Landscape/assay
liquid chromatography/mass spectrometry,,,,,,,,,,,,,NF Landscape/assay
liquid chromatography/tandem mass spectrometry,,,,,,,,,,,,,NF Landscape/assay
mass spectrometry,,,,,,,,,,,,,NF Landscape/assay
proximity extension assay,,,,,,,,,,,,,NF Landscape/assay
SomaScan,,,,,,,,,,,,,NF Landscape/assay
ultra high-performance liquid chromatography/tandem mass spectrometry,,,,,,,,,,,,,NF Landscape/assay
AlgometRx Nociometer,,,,,,,,,,,,,NF Landscape/assay
quantitative sensory testing,,,,,,,,,,,,,NF Landscape/assay
Child Behavior Checklist for Ages 1.5-5,,,,,,,,,,,,,NF Landscape/assay
Child Behavior Checklist for Ages 6-18,,,,,,,,,,,,,NF Landscape/assay
Children's Dermatology Life Quality Index Questionnaire,,,,,,,,,,,,,NF Landscape/assay
Corsi blocks,,,,,,,,,,,,,NF Landscape/assay
FACE-Q Appearance-related Distress,,,,,,,,,,,,,NF Landscape/assay
Focus group,,,,,,,,,,,,,NF Landscape/assay
Interview,,,,,,,,,,,,,NF Landscape/assay
