Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
aligned reads,,,,,,,,,,,,,NF Landscape/Data Types
annotated germline variants,,,,,,,,,,,,,NF Landscape/Data Types
annotated somatic mutation,,,,,,,,,,,,,NF Landscape/Data Types
audio transcript,,,,,,,,,,,,,NF Landscape/Data Types
behavioral data,,,,,,,,,,,,,NF Landscape/Data Types
capsid sequence,,,,,,,,,,,,,NF Landscape/Data Types
cellular physiology,,,,,,,,,,,,,NF Landscape/Data Types
characteristic,,,,,,,,,,,,,NF Landscape/Data Types
chromatin activity,,,,,,,,,,,,,NF Landscape/Data Types
clinical,,,,,,,,,,,,,NF Landscape/Data Types
copy number variants,,,,,,,,,,,,,NF Landscape/Data Types
count matrix,,,,,,,,,,,,,NF Landscape/Data Types
data index,,,,,,,,,,,,,NF Landscape/Data Types
data sharing plan,,,,,,,,,,,,,NF Landscape/Data Types
demographics,,,,,,,,,,,,,NF Landscape/Data Types
drug combination screen,,,,,,,,,,,,,NF Landscape/Data Types
drug screen,,,,,,,,,,,,,NF Landscape/Data Types
electrophysiology,,,,,,,,,,,,,NF Landscape/Data Types
epidemiological data,,,,,,,,,,,,,NF Landscape/Data Types
gene expression,,,,,,,,,,,,,NF Landscape/Data Types
gene expression matrix,,,,,,,,,,,,,NF Landscape/Data Types
quantified gene expression,,,,,,,,,,,,,NF Landscape/Data Types
genomic features,,,,,,,,,,,,,NF Landscape/Data Types
genomic variants,,,,,,,,,,,,,NF Landscape/Data Types
germline variants,,,,,,,,,,,,,NF Landscape/Data Types
guide RNA sequence,,,,,,,,,,,,,NF Landscape/Data Types
image,,,,,,,,,,,,,NF Landscape/Data Types
immunoassay,,,,,,,,,,,,,NF Landscape/Data Types
isoform expression,,,,,,,,,,,,,NF Landscape/Data Types
kinomics,,,,,,,,,,,,,NF Landscape/Data Types
mask image,,,,,,,,,,,,,NF Landscape/Data Types
mass spectrometry data,,,,,,,,,,,,,NF Landscape/Data Types
metabolomics,,,,,,,,,,,,,NF Landscape/Data Types
molecular property,,,,,,,,,,,,,NF Landscape/Data Types
morphology parameter,,,,,,,,,,,,,NF Landscape/Data Types
network,,,,,,,,,,,,,NF Landscape/Data Types
nucleic acid sequence record,,,,,,,,,,,,,NF Landscape/Data Types
over-representation data,,,,,,,,,,,,,NF Landscape/Data Types
particle characterization,,,,,,,,,,,,,NF Landscape/Data Types
pharmacokinetics,,,,,,,,,,,,,NF Landscape/Data Types
physiology parameter,,,,,,,,,,,,,NF Landscape/Data Types
plasmid sequence,,,,,,,,,,,,,NF Landscape/Data Types
plot,,,,,,,,,,,,,NF Landscape/Data Types
primer sequence,,,,,,,,,,,,,NF Landscape/Data Types
probe sequence,,,,,,,,,,,,,NF Landscape/Data Types
promoter sequence,,,,,,,,,,,,,NF Landscape/Data Types
protein interaction data,,,,,,,,,,,,,NF Landscape/Data Types
protein interaction raw data,,,,,,,,,,,,,NF Landscape/Data Types
proteomics,,,,,,,,,,,,,NF Landscape/Data Types
raw counts,,,,,,,,,,,,,NF Landscape/Data Types
reference sequence,,,,,,,,,,,,,NF Landscape/Data Types
report,,,,,,,,,,,,,NF Landscape/Data Types
somatic variants,,,,,,,,,,,,,NF Landscape/Data Types
structural variants,,,,,,,,,,,,,NF Landscape/Data Types
survey data,,,,,,,,,,,,,NF Landscape/Data Types
text data,,,,,,,,,,,,,NF Landscape/Data Types
volume,,,,,,,,,,,,,NF Landscape/Data Types
weight,,,,,,,,,,,,,NF Landscape/Data Types
Unknown,,,,,,,,,,,,,NF Landscape/Data Types
