Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
bai,,,,,,,,,,,,,NF Landscape/File Formats
bam,,,,,,,,,,,,,NF Landscape/File Formats
bcf,,,,,,,,,,,,,NF Landscape/File Formats
bed,,,,,,,,,,,,,NF Landscape/File Formats
bed broadPeak,,,,,,,,,,,,,NF Landscape/File Formats
bed gappedPeak,,,,,,,,,,,,,NF Landscape/File Formats
bed narrowPeak,,,,,,,,,,,,,NF Landscape/File Formats
bedgraph,,,,,,,,,,,,,NF Landscape/File Formats
bgzip,,,,,,,,,,,,,NF Landscape/File Formats
cloupe,,,,,,,,,,,,,NF Landscape/File Formats
bigwig,,,,,,,,,,,,,NF Landscape/File Formats
cnn,,,,,,,,,,,,,NF Landscape/File Formats
cnr,,,,,,,,,,,,,NF Landscape/File Formats
cns,,,,,,,,,,,,,NF Landscape/File Formats
crai,,,,,,,,,,,,,NF Landscape/File Formats
cram,,,,,,,,,,,,,NF Landscape/File Formats
csi,,,,,,,,,,,,,NF Landscape/File Formats
ctab,,,,,,,,,,,,,NF Landscape/File Formats
dup,,,,,,,,,,,,,NF Landscape/File Formats
fasta,,,,,,,,,,,,,NF Landscape/File Formats
fastq,,,,,,,,,,,,,NF Landscape/File Formats
flagstat,,,,,,,,,,,,,NF Landscape/File Formats
gct,,,,,,,,,,,,,NF Landscape/File Formats
gff3,,,,,,,,,,,,,NF Landscape/File Formats
githubRepo,,,,,,,,,,,,,NF Landscape/File Formats
gtf,,,,,,,,,,,,,NF Landscape/File Formats
hic,,,,,,,,,,,,,NF Landscape/File Formats
maf,,,,,,,,,,,,,NF Landscape/File Formats
mtx,,,,,,,,,,,,,NF Landscape/File Formats
plink,,,,,,,,,,,,,NF Landscape/File Formats
recal,,,,,,,,,,,,,NF Landscape/File Formats
sam,,,,,,,,,,,,,NF Landscape/File Formats
seg,,,,,,,,,,,,,NF Landscape/File Formats
sf,,,,,,,,,,,,,NF Landscape/File Formats
sra,,,,,,,,,,,,,NF Landscape/File Formats
tagAlign,,,,,,,,,,,,,NF Landscape/File Formats
tbi,,,,,,,,,,,,,NF Landscape/File Formats
tranches,,,,,,,,,,,,,NF Landscape/File Formats
vcf,,,,,,,,,,,,,NF Landscape/File Formats
wiggle,,,,,,,,,,,,,NF Landscape/File Formats
DICOM,,,,,,,,,,,,,NF Landscape/File Formats
NWB,,,,,,,,,,,,,NF Landscape/File Formats
PAR,,,,,,,,,,,,,NF Landscape/File Formats
REC,,,,,,,,,,,,,NF Landscape/File Formats
aci,,,,,,,,,,,,,NF Landscape/File Formats
avi,,,,,,,,,,,,,NF Landscape/File Formats
bmp,,,,,,,,,,,,,NF Landscape/File Formats
czi,,,,,,,,,,,,,NF Landscape/File Formats
dm3,,,,,,,,,,,,,NF Landscape/File Formats
hdr,,,,,,,,,,,,,NF Landscape/File Formats
img,,,,,,,,,,,,,NF Landscape/File Formats
jpg,,,,,,,,,,,,,NF Landscape/File Formats
lif,,,,,,,,,,,,,NF Landscape/File Formats
mov,,,,,,,,,,,,,NF Landscape/File Formats
nii,,,,,,,,,,,,,NF Landscape/File Formats
ome-tiff,,,,,,,,,,,,,NF Landscape/File Formats
png,,,,,,,,,,,,,NF Landscape/File Formats
svs,,,,,,,,,,,,,NF Landscape/File Formats
sws,,,,,,,,,,,,,NF Landscape/File Formats
tif,,,,,,,,,,,,,NF Landscape/File Formats
tom,,,,,,,,,,,,,NF Landscape/File Formats
Sentrix descriptor file,,,,,,,,,,,,,NF Landscape/File Formats
bpm,,,,,,,,,,,,,NF Landscape/File Formats
cel,,,,,,,,,,,,,NF Landscape/File Formats
chp,,,,,,,,,,,,,NF Landscape/File Formats
dat,,,,,,,,,,,,,NF Landscape/File Formats
idat,,,,,,,,,,,,,NF Landscape/File Formats
locs,,,,,,,,,,,,,NF Landscape/File Formats
msf,,,,,,,,,,,,,NF Landscape/File Formats
mzML,,,,,,,,,,,,,NF Landscape/File Formats
raw,,,,,,,,,,,,,NF Landscape/File Formats
RCC,,,,,,,,,,,,,NF Landscape/File Formats
csv,,,,,,,,,,,,,NF Landscape/File Formats
excel,,,,,,,,,,,,,NF Landscape/File Formats
parquet,,,,,,,,,,,,,NF Landscape/File Formats
tsv,,,,,,,,,,,,,NF Landscape/File Formats
MATLAB script,,,,,,,,,,,,,NF Landscape/File Formats
Python script,,,,,,,,,,,,,NF Landscape/File Formats
R script,,,,,,,,,,,,,NF Landscape/File Formats
bash script,,,,,,,,,,,,,NF Landscape/File Formats
js,,,,,,,,,,,,,NF Landscape/File Formats
MATLAB data,,,,,,,,,,,,,NF Landscape/File Formats
RData,,,,,,,,,,,,,NF Landscape/File Formats
SDAT,,,,,,,,,,,,,NF Landscape/File Formats
SPAR,,,,,,,,,,,,,NF Landscape/File Formats
json,,,,,,,,,,,,,NF Landscape/File Formats
prism,,,,,,,,,,,,,NF Landscape/File Formats
rds,,,,,,,,,,,,,NF Landscape/File Formats
sqlite,,,,,,,,,,,,,NF Landscape/File Formats
xml,,,,,,,,,,,,,NF Landscape/File Formats
yaml,,,,,,,,,,,,,NF Landscape/File Formats
7z,,,,,,,,,,,,,NF Landscape/File Formats
docker image,,,,,,,,,,,,,NF Landscape/File Formats
gzip,,,,,,,,,,,,,NF Landscape/File Formats
tar,,,,,,,,,,,,,NF Landscape/File Formats
zip,,,,,,,,,,,,,NF Landscape/File Formats
ai,,,,,,,,,,,,,NF Landscape/File Formats
doc,,,,,,,,,,,,,NF Landscape/File Formats
html,,,,,,,,,,,,,NF Landscape/File Formats
"hyperlink",,,,,,,,,,,,,NF Landscape/File Formats
md,,,,,,,,,,,,,NF Landscape/File Formats
pdf,,,,,,,,,,,,,NF Landscape/File Formats
powerpoint,,,,,,,,,,,,,NF Landscape/File Formats
txt,,,,,,,,,,,,,NF Landscape/File Formats
MPEG-4,,,,,,,,,,,,,NF Landscape/File Formats
ab1,,,,,,,,,,,,,NF Landscape/File Formats
abf,,,,,,,,,,,,,NF Landscape/File Formats
dna,,,,,,,,,,,,,NF Landscape/File Formats
edat3,,,,,,,,,,,,,NF Landscape/File Formats
fcs,,,,,,,,,,,,,NF Landscape/File Formats
fig,,,,,,,,,,,,,NF Landscape/File Formats
gb,,,,,,,,,,,,,NF Landscape/File Formats
h5,,,,,,,,,,,,,NF Landscape/File Formats
hdf5,,,,,,,,,,,,,NF Landscape/File Formats
idx,,,,,,,,,,,,,NF Landscape/File Formats
psydat,,,,,,,,,,,,,NF Landscape/File Formats
pzfx,,,,,,,,,,,,,NF Landscape/File Formats
rmd,,,,,,,,,,,,,NF Landscape/File Formats
sav,,,,,,,,,,,,,NF Landscape/File Formats
sdf,,,,,,,,,,,,,NF Landscape/File Formats
sif,,,,,,,,,,,,,NF Landscape/File Formats
svg,,,,,,,,,,,,,NF Landscape/File Formats
Unknown,,,,,,,,,,,,,NF Landscape/File Formats
Ome-zarr,,,,,,,,,,,,,NAM Hub curation
