Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Danio rerio,,,,,,,,,,,,,NF Landscape/Species
Drosophila melanogaster,,,,,,,,,,,,,NF Landscape/Species
Gallus gallus,,,,,,,,,,,,,NF Landscape/Species
Homo sapiens,,,,,,,,,,,,,NF Landscape/Species
Mus musculus,,,,,,,,,,,,,NF Landscape/Species
Macaca nemestrina,,,,,,,,,,,,,NF Landscape/Species
Mus musculus (humanized),,,,,,,,,,,,,NF Landscape/Species
Oryctolagus cuniculus,,,,,,,,,,,,,NF Landscape/Species
Pan troglodytes,,,,,,,,,,,,,NF Landscape/Species
Rattus norvegicus,,,,,,,,,,,,,NF Landscape/Species
Rhesus macaque,,,,,,,,,,,,,NF Landscape/Species
Sus scrofa,,,,,,,,,,,,,NF Landscape/Species
Unknown,,,,,,,,,,,,,NF Landscape/Species
